[STRING]
String = 12000,Hac Long Giang
String = 12174,Bao Luu
String = 12175,Bao Luu
String = 12176,Bao Luu
String = 12177,Bao Luu
String = 12178,Bao Luu
String = 12179,Bao Luu
String = 12180,Bao Luu
String = 12181,Bao Luu
String = 12182,Bao Luu
String = 12183,Bao Luu
String = 12184,Bao Luu
String = 12185,Bao Luu
String = 12186,Bao Luu
String = 12187,Bao Luu
String = 12188,Bao Luu
String = 12189,Bao Luu
String = 12190,Bao Luu
String = 12191,Bao Luu
String = 12192,Bao Luu
String = 12193,Bao Luu
String = 12194,Bao Luu
String = 12195,Bao Luu
String = 12196,Bao Luu
String = 12197,Bao Luu
String = 12198,Bao Luu
String = 12199,Bao Luu
String = 12200,Bao Luu
String = 12201,Doc Long Dam
String = 12202,Manh Ho Huyet
String = 12203,Dai Tuyet Son
String = 12204,Hoa Diem Son
String = 12205,Thu Than Dong
String = 12206,Thanh Long Thap
String = 12207,Bach Ho Thap
String = 12208,Huyen Vu Thap
String = 12209,Chu Tuoc Thap
String = 12210,Ky Lan Thap
String = 12211,DaoNguyenTienHuong
String = 12212,Thi Dong
String = 12213,CuuTuyenChiUyen
String = 12214,Bao Luu
String = 12215,Bao Luu
String = 12216,Bao Luu
String = 12217,Bao Luu
String = 12218,Bao Luu
String = 12219,Bao Luu
String = 12220,Bao Luu
String = 12221,Bao Luu
String = 12222,Bao Luu
String = 12223,Bao Luu
String = 12224,Hoang Sa Trai
String = 12225,Thien Vuong Trai
String = 12226,Ho Dau Trai
String = 12227,Hac Phong Trai
String = 12228,Phien Giang O
String = 12229,Thien Tru Son
String = 12230,Dong Dinh Ho
String = 12231,Bach Hoa O
String = 12232,Yen Nguyet O
String = 12233,Cuu Ly Son
String = 12234,Dai Hung Son
String = 12235,Phi Phung Trai
String = 12236,Huyet Giao O
String = 12237,Bach Thu Trai
String = 12238,Cu Hung Trai
String = 12239,Cu Van Trai
String = 12240,Long Vuong O
String = 12241,Bach Lang Trai
String = 12242,Bao Luu
String = 12243,Bao Luu
String = 12244,Bao Luu
String = 12245,Bao Luu
String = 12246,Bao Luu
String = 12247,Bao Luu
String = 12248,Bao Luu
String = 12249,Bao Luu
String = 12250,Bao Luu
String = 12251,Bao Luu
String = 12252,Kim Nguu Son
String = 12253,Long Hon Tinh
String = 12254,Long Nhac
String = 12255,Van Xa Khanh
String = 12256,TienTanDiaGiam
String = 12257,TuKimPheKhoang
String = 12258,Tu Ngo Coc
String = 12259,Dia Tam Nhan
String = 12260,HoangMacPheDoanh
String = 12261,Bach Thao Lam
String = 12262,VoDanhDiaHuyet
String = 12263,Chuong Khi Lam
String = 12264,Ach Tuyen
String = 12265,Nhu Tuyen
String = 12266,Hac Tuyen
String = 12267,Diet Tuyen
String = 12268,Bao Tu Lam
String = 12269,Van Mong Trach
String = 12270,BinhThuyDiaHuyet
String = 12271,CanhSonDongQuat
String = 12272,Ho Khieu Pha
String = 12273,Dich Quy Dong
String = 12274,On Than Coc
String = 12275,Dai Ha Trach
String = 12276,Hai Ngung Trach
String = 12277,Huyen Bang Quat
String = 12278,TienTanHoangTrung
String = 12279,TienTanCoMo
String = 12280,Dai Chu Trach
String = 12281,La Sat Coc
String = 12282,AnhNguyetUDam
String = 12283,Thiet Mon Hap
String = 12284,Tuyet Nhan Linh
String = 12285,Cuu U Dong
String = 12286,Thuong Minh Tieu
String = 12287,Phu Bang Dao
String = 12288,Thanh Quy Dao
String = 12289,Xich Quy Dao
String = 12290,Phung Hoang Linh
String = 12291,Bao Luu
String = 12292,Bao Luu
String = 12293,Bao Luu
String = 12294,Bao Luu
String = 12295,Bao Luu
String = 12296,Bao Luu
String = 12297,Bao Luu
String = 12298,Bao Luu
String = 12299,Bao Luu
String = 12300,Doanh Chau Dao
String = 12301,Bong Lai Dao
String = 12302,Bao Luu
String = 12303,Bao Luu
String = 12304,Bao Luu
String = 12305,Bao Luu
String = 12306,Bao Luu
String = 12307,Bao Luu
String = 12308,Bao Luu
String = 12309,Bao Luu
String = 12310,Bao Luu
String = 12311,Bao Luu
String = 13000,Ten si binh
String = 13001,Trong Bo
String = 13002,Than Dao
String = 13003,Truong Cung
String = 13004,Cuong Cung
String = 13005,Truong Thuong
String = 13006,Trong Kich
String = 13007,Cuong No
String = 13008,Trong No
String = 13009,Phu Ky
String = 13010,Trong Ky
String = 13011,Dang Giap
String = 13012,Trong Man Giap
String = 13013,Can Ve
String = 13014,Than Ve
String = 13015,Manh Thu
String = 13016,Tuong Binh
String = 13017,Nhan Gia
String = 13018,An Nhan
String = 13019,No Xa
String = 13020,Lien No Xa
String = 13021,Dau Thach Xa
String = 13022,Phi Thach Xa
String = 13023,Hoang Can
String = 13024,HCanTruong
String = 13025,Hung No
String = 13026,Du Ky
String = 13027,Lang Nhan
String = 13028,Vu Si
String = 13029,Thi Binh
String = 13030,Thi Ma
String = 13031,Moc Nhan
String = 13032,Thiet Nhan
String = 13033,Dao Xa
String = 13034,Thiet Xa Binh
String = 13035,Kiem Binh
String = 13036,Kiem Ve
String = 13037,Moc Chuy
String = 13038,Thiet Chuy
String = 13039,Lien Cau
String = 13040,Cuong Cau
String = 13041,Thuy Binh
String = 13042,Lan Giap Thuy
String = 13043,Cung Ky
String = 13044,Trong Cung Ky
String = 13045,Vu Nuong
String = 13046,Vu Co
String = 13047,Than Kiem CVe
String = 13048,Than Thuong CVe
String = 13049,ToanNgheThietKy
String = 13050,Tinh Quan
String = 13051,ThucNuKyBinh
String = 13052,TinhNhueNuLinh
String = 13053,TinhNhueKiemHao
String = 13054,TinhNhueThanThuong
String = 13055,Ho Bao Ky
String = 13056,TinhNhueTrongKiem
String = 13057,TinhNhuePhuKy
String = 13058,TinhNhueThanVe
String = 13059,Tu Hon Dao
String = 13060,Tu Hon Thuong
String = 13061,Luu Manh
String = 13062,SaMacDaoTac
String = 13063,TinhNhueAmSat
String = 13064,Nu Phi Tac
String = 13065,TinhNhueThuKy
String = 13066,Long Phao
String = 13067,TinhNhueLangKy
String = 13068,SaMacCuHat
String = 13069,SaMacLongTich
String = 13070,BMaDungKy
String = 13071,BMaDungThuong
String = 13072,BMaDungCung
String = 13073,BMaDungKiem
String = 13074,TinhNhueDucCung
String = 13075,Thien Ky
String = 13076,Ho
String = 13077,Son Mieu
String = 13078,Hac Hung
String = 13079,Da Lang
String = 13080,TieuDa Xoa
String = 13081,Hoa Nghi
String = 13082,Cu Tri Chu
String = 13083,Ho Bon Ky
String = 13084,Yeu Long
String = 13085,Bach Hung
String = 13086,Bang Tam
String = 13087,Dai Xa
String = 13088,Dai Ngo Cong
String = 13089,La Ma Ky
String = 13090,CaoLeChienCo
String = 13091,CaoLeDaiDao
String = 13092,CaoLeNuKich
String = 13093,Ma Kiem
String = 13094,Ma Thuong
String = 13095,Quy Binh
String = 13096,MaCungNuYeu
String = 13097,Chien Quy
String = 13098,AcQuyKyBinh
String = 13099,Huyen Vu
String = 13100,Chu Tuoc
String = 13101,Bach Ho
String = 13102,Thanh Long
String = 13103,Ky Lan
String = 13104,Thi Quy
String = 13105,Viem Thu
String = 13106,Tinh Lan
String = 13107,Phan On Xa
String = 13108,Phu Binh
String = 13109,Thiet Bao
String = 13110,CoThietTienLau
String = 13111,Dong Nhan
String = 13112,NguyenNhungThanNo
String = 13113,CThietHoaLuanXung
String = 13114,CThietDaiTuongQuan
String = 13115,Thach Tuong
String = 13116,Cu Ma
String = 13117,Thiet Thuan
String = 13118,Long Nha Xa
String = 13119,Cuu Vi Ho
String = 13120,Cu Yeu Thi
String = 13121,Cuong Nha Ho
String = 13122,Thiet Di Long
String = 13123,Thiet Viem Hoang
String = 13124,Thiet Ly Ho
String = 13125,Thiet Toan Nghe
String = 13126,Thiet Than Ung
String = 13127,LietDiemHoaQuy
String = 13128,ThaoThietYeuHai
String = 13129,UMinhQuyKy
String = 13130,MaLinhDaoBinh
String = 13131,MaLinhThuongBinh
String = 13132,Xung Thanh Chuy
String = 13133,Thiet Luan Xa
String = 13134,Chien Xa
String = 13135,Trich Loi Doi
String = 13136,Hoa Sung Doi
String = 13137,Phao Xa Doi
String = 13138,Thuan Bai Doi
String = 13139,Thieu Quyet Doi
String = 13140,Tiet Thien No
String = 13141,Tich Lich Xa
String = 13142,Thap
String = 13143,Trung
String = 13144,Cao
String = 13145,ThietGiap
String = 13146,No Tien
String = 13147,Tr Cung
String = 13148,Loi Hoa
String = 13149,Phi Thach
String = 13150,Cu Ma
String = 13151,Phi Ung
String = 13152,Ac Lang
String = 13153,Cuong Nguu
String = 13154,Manh Ho
String = 13155,Hoa Bao
String = 13156,Dai Hung
String = 13157,ThucThanDongTu
String = 13158,Thuc Than Co
String = 13159,Khuyen Than
String = 13160,Moc Nguu
String = 13161,Luu Ma
String = 13162,DaoThaoYeuBinh
String = 13163,Co Thiet Binh
String = 13164,Thi Binh
String = 13165,An Nhan
String = 13166,Con Loi Dai
String = 13167,TTD HamTich
String = 13168,TTDTruyenTongDiem
String = 13169,Xich Diem Tran
String = 13170,Manh Hoa Tran
String = 13171,Lien Hoa Lac
String = 13172,Phu Loi Lac
String = 13173,Kim Phu Toa
String = 13174,Na Di An
String = 13175,Chuyen Vi An
String = 13176,Thac Tung An
String = 13177,Sinh Tu Mon
String = 13178,Nai Lac Mon
String = 13179,Dia Mau Tran
String = 13180,Kiem Luan Tram
String = 13181,Thiet Thuan Xa
String = 13182,Chien Giap Binh
String = 13183,Long Phao Xa
String = 13184,Ho Phao Xa
String = 13185,Thiet Dao Tuong
String = 13186,Phun Hoa Lau
String = 13187,Dia Nha Lau
String = 13500,Mo Ta
String = 13501,Trong Bo, loai binh chung co ban trong SG. Hieu qua cao khi chien dau voi Cung, No binh. Rat kem hieu qua, bi khac che voi Ky Binh.
String = 13502,Than Dao, loai binh thang cap cua Trong Bo. Ko chi tang cao ty le cong kich Than Dao con co kha nang phat dong Dot Kich, sat thuong 2 mat quan.
String = 13503,Truong Cung, binh chung tan cong tu xa. Do co ty le cong kich thap, can chien kiem nen ket hop voi loai binh khac de phat huy het gia tri.
String = 13504,Cuong Cung, loai binh thang cap cua Tr.Cung. Ty le, pham vi cong kich duoc tang cao. Co the phat dong ki nang Hoa Tien, sat thuong x2.
String = 13505,Truong Thuong, loai binh dac thu cua Bo binh. Tuy kha nang chien dau kem hon Bo binh, nhung khac che rat tot voi Ky Binh.
String = 13506,Trong Kich, thang cap cua Tr.Thuong. Luc cong kich tang toan dien. Co the phat dong ki nang Hoanh Tao, cong kich dong thoi 3 mat quan.
String = 13507,Cuong No, thuoc loai binh cong kich tu xa. Do chi co the cong kich truc dien nen khi bi binh chung khac chan se khong the tan cong.
String = 13508,Trong No, thang cap cua Cuong No. Gia tang them toc do, pham vi ban. Co the phat dong ki nang Thau Giap Tien, xuyen toi da 3 mat quan.
String = 13509,Phu Ky, loai binh cap cao thien chien voi khang nang di chuyen va cong kich cao. Tuy vay, can phai tranh Thuong binh, do bi khac che.
String = 13510,Trong Ky, thang cap cua Phu Ky, toc do di chuyen cao hon. Co the phat dong ki nang Xung Phong, cong kich dac thu voi 3 mat quan.
String = 13511,Dang Giap, binh chung Nam Man dac thu. Thuoc Bo binh nen van yeu khi gap Ky binh. Tuy khien lon, the luc cao, ko the chien voi No binh so luong lon.
String = 13512,Trong Giap, thang cap cua Dang Giap. Cong thu toan dien. Co the phat dong ki nang Phong Ngu, ko bi sat thuong, mien nhiem.
String = 13513,Can Ve, toc do di chuyen chi kem Ky binh, can chien kem. Phat huy hieu qua cao khi co khoang cach de tan cong, ho tro rat tot.
String = 13514,Than Ve, thang cap cua Can Ve. Gia tang toc do va pham vi cong kich. Co the phat dong ki nang Tam Lien Dao, sat thuong 3 mat quan.
String = 13515,Manh Thu, ky binh Nam Man dac thu. Uu the khi gap Bo binh, voi toc do di chuyen cao. Yeu khi gap Can Ve cong kich.
String = 13516,Tuong Binh, thang cap cua Manh Thu. Toc do giam, phong ngu tang cao. Phat dong ki nang Trung Dap, bo qua phong ngu, sat thuong truc tiep.
String = 13517,Nhan Gia, binh chung Uy Quoc dac thu. Nang luc tuong tu Can Ve binh, cong kich da dang. Pham vi tan cong nho, toc do di chuyen cao hon.
String = 13518,An Nhan, thang cap cua Nhan Gia. Toc do, pham vi cong kich tang cao. Dac thu ki nang An Than, toan bo quan tang hinh, bi phat hien khi cong kich.
String = 13519,No Xa, loai binh chung hiem. Tan cong voi khoang cach rat xa, can chien, do linh hoat kem. Ko the tan cong khi bi chan.
String = 13520,Lien No Xa, thang cap cua No Xa. Khoang cach tan cong cuc xa. Co the phat dong ki nang Xuyen Nham Tien, xuyen toi da 5 mat quan.
String = 13521,Dau Thach Xa, loai binh chung rat hiem. Pham vi tan cong xa  cung nhu pham vi sat thuong cao nhat trong cac binh chung.
String = 13522,Phi Thach Xa, thang cap cua Dau Thach Xa. Gia tang toc do tan cong, co the phat dong ki nang Viem Dan, uy luc rat lon voi hoa luc thieu chay.
String = 13523,Hoang Can, binh chung tu phat. Nang luc chien dau kem trong Bo binh nhung la loai binh duy nhat co kha nang khac che Thi binh.
String = 13524,Hoang Can Truong, thang cap cua Hoang Can. Gia tang ty le cong kich. Co ki nang Huyet Nhan, hap thu sinh menh nham tang cao chien luc.
String = 13525,Hung No, binh chung Hung No dac thu. Kha nang chien dau thap hon Ky binh de khang Cung, No, Man binh cao hon, toc do di chuyen cao nhat.
String = 13526,Du Ky, thang cap cua Hung No. Gia tang toc do di chuyen. Co the phat dong ki nang Khoai Tram, co hoi ra thap, sat thuong manh 4 mat quan.
String = 13527,Lang Nhan, bo binh Uy Quoc dac thu. Luc cong kich cao nhat trong Bo binh, nhung toc do lai cham.
String = 13528,Vo Si Lang Nhan, thang cap cua Lang Nhan. Gia tang ty le cong kich. Co the phat dong ki nang Nha Lam, sat thuong 3 mat quan.
String = 13529,Thi Binh, loai binh chung dac biet. Toc do di chuyen cham nhat, luc phong ngu cao trong Bo binh.
String = 13530,Thi Ma, thang cap cua Thi Binh. Toc do di chuyen duoc tang it. Sau khi ha sat, co the phat dong ki nang Yeu Yem, thi binh xuat hien.
String = 13531,Moc Nhan, co quan binh chugn cuc hiem. toc do di chuyen thap, phong ngu cao, pham vi cong kich hep.
String = 13532,Thiet Moc Nhan, thang cap cua Moc Nhan. Gia tang phong ngu, pham vi cong kich. Khi chet, co the phat dong Tu Bao, sat thuong 10 mat quan.
String = 13533,Dao Xa, binh chung Hung No dac thu. Di chuyen kem, ty le cong kich, cong kich thap. Dung de khac che Moc Nhan, Ky Binh, Moc Chuy.
String = 13534,Thiet Xa, thang cap cua Dao Xa. Gia tang luc phong ngu, co the phat dong ki nang Xung Chang, sat thuong 6 mat quan.
String = 13535,Kiem Binh, loai binh chung nhe, linh hoat. Toc do di chuyen nhanh ngang Ky binh, tan cong nhanh nhat, yeu diem bi tan cong tu xa.
String = 13536,Kiem Ve, thang cap cua Kiem Binh. Toc do cong kich, luc cong kich deu tang cao. Co kha nang phat dong Kiem Mang, sat thuong 3 mat quan.
String = 13537,Moc Chuy. Cong kich ngang Thiet Moc Nhan, toc do di chuyen, cong kich deu cham hon. Trang bi Moc Chuy nen pha tuong thanh rat hieu qua.
String = 13538,Thiet Chuy, thang cap cua Moc Chuy. Luc cong kich cao nhat trong binh chung. Co kha nang phat dong Chan Dia, sat thuong 8 mat quan.
String = 13539,Lien Cau, binh chung Hung No dac thu. Kha nang kem hon Bo binh nhung voi toc do di chuyen nhanh, trang bi Cau, hieu qua voi tuong thanh.
String = 13540,Cuong Cau, thang cap cua Lien Cau. Toc do di chuyen nhanh nhat. Co the phat dong ki nang Dai Hoi Toan, sat thuong 8 mat quan.
String = 13541,Thuy Binh, binh chung dac biet. Kha nang nhu Bo binh, tuong khac quan he voi binh chung, co ty le cong kich on dinh.
String = 13542,Lan Giac Thuy Binh, thang cap cua Thuy Binh. Co ban ko khac Thuy Binh. Gap nuoc, co dac thu Thuy Chien, tang toan dien cac chi so.
String = 13543,Cung Ky, ky binh tan cong xa. Rat co dong tren chien truong, cung sat thuong cao. Yeu diem: can chien.
String = 13544,Trong Cung Ky, thang cap cua Cung Ky. Tang cuong them sat thuong. Tuy nhien can chien van kha yeu.
String = 13545,Vu nuong, binh chung dac biet. Nu binh cong kich tren dieu mua. Co kha nang du do nang luc dich binh.
String = 13546,Vu co, thang cap cua Vu nuong. Ngoai kha nang cua loai binh truoc, co them kha nang chien dau, gop phan tang cao muc do Quyen Ru =).
String = 13547,Than Dao, Kiem, Ve, Dang chien si tien hoa. Sat thuong cuong dai, > Tuong. Co kha nang su dung Hoanh Tao, sat thuong quet 3 hang quan.
String = 13548,Trong Kich tien hoa. Sat thuong cuong dai, > Tuong. Co kha nang su dung Quan Thu, sat thuong thang 3 hang quan.
String = 13549,Trong Ky tien hoa. Sat thuong cuong dai, > Tuong. Co kha nang su dung Trung Dap, bo qua phong ngu, gay sat thuong truc tiep.
String = 13550,Nu Tinh Binh tien hoa. Sat thuong cuong dai, > Tuong. Co kha nang trieu hoan Thao Loi Dong Tu cung chien dau.
String = 13551,Nu ky binh 1, binh chung co duoc sac dep diem le, doan trang.
String = 13552,Nu ky binh 2, den tu Tien Gioi, co kha nang ki dieu.
String = 13553,Nhue Kiem Hao, tang cao toc do cong kich.
String = 13554,Nhue Thuong Binh, nang luc tang vuot troi.
String = 13555,Nhue Ky Binh, tang them muc do uy hiep so voi Ky Binh.
String = 13556,Nhue Trong Kiem, cong kich nang cao toan dien.
String = 13557,Nhue Thiet Ky, nang luc tang vuot troi.
String = 13558,Nhue Than Ve.
String = 13559,Dao binh tu tran, oan hon hinh thanh binh chung.
String = 13560,Thuong binh tu tran, oan hon hinh thanh binh chung.
String = 13561,Vo lai, nang luc giong Trong Bo binh.
String = 13562,Sa Mac Phi, nang luc giong Trong Bo binh.
String = 13563,Dao tac, nang luc giong Kiem binh.
String = 13564,Nu tac, nang luc giong Trong Bo binh.
String = 13565,Tay Vuc luc si, nang luc giong Moc Chuy binh.
String = 13566,Cuong dai dac thu binh, dai phao uy luc kinh thien dong dia.
String = 13574,Trong Cung Ky tien hoa, kha nang chien dau ki la.
String = 13576,Hung manh Da thu.
String = 13577,Hung manh Da thu.
String = 13578,Hung manh Da thu.
String = 13579,Hung manh Da thu.
String = 13580,Hung tan loan the Yeu ma.
String = 13581,Hung tan loan the Yeu ma.
String = 13582,Kich doc Ba trung
String = 13583,Hung tan loan the Yeu ma.
String = 13584,Kich doc Ba trung.
String = 13585,Hung manh Da thu.
String = 13586,Kich doc Ba trung.
String = 13587,Kich doc Ba trung.
String = 13588,Hung tan loan the Yeu ma.
String = 13589,Hung manh Ngac ngu, Ac thu Trung phi can tu thuong.
String = 13590,Dai Han dac thu binh, su dung trong, phan chan quan tam.
String = 13591,Dai Han dac thu binh, su dung Dai Dao, nang luc giong Trong Bo.
String = 13592,Dai Han dac thu binh, dao tao nu binh dung Truong Kich, cong kich gia tang, nang luc giong Truong Thuong binh.
String = 13593,Ma toc Kiem si, nang luc sat thuong cuong dai.
String = 13594,Ma tocThuong binh, nang luc sat thuong cuong dai.
String = 13595,Ma toc Lien Cau binh, ra tay tan nhan.
String = 13596,Ma toc Nu cung thu, xuat tien Phe Hon Doat Phach.
String = 13597,Hieu chien Thi Quy, tay nhu vu khi sieu nhien.
String = 13598,Cuoc khoa Ac thu Ky binh, thu doan tan nhan tuyet luan.
String = 13609, each organ of three array-based red teams that can result in direct range of a fireball attack, moving slowly.
String = 13610, the most solid Morishiro ordnance, can ejections arrows. Has a very long range and fast rate of fire, the biggest disadvantage is that the enemy can not shoot too close.
String = 13611, each organ of three array-based red teams that can chop Jian Qi Hui damage caused by a straight line, moving speed medium.
String = 13612, the most solid Morishiro ordnance, be able to get close to enemy attack arrows. Medium rate of fire, the biggest drawback is that the range is not long.
String = 13632, each group of three red array of melee-based teams, right Shoucheng lethal ordnance has doubled the speed of the
String = 13633, each organ of three array-based red teams that can carry out high-speed close attack, speed, upper
String = 13634, each group of three red array of melee-based teams, is an attack speed and moving speed of the highest red array Team
String = 13635, each group of five red array of remote-based teams to bomb the way dumped mine attacks, death can produce small-scale explosion, the general speed
String = 13636, each group of five red array of remote-based teams, with quality-based cross-cutting approach flare attack speed in general
String = 13637, each group of five teams of remote-type red array can carry out large-scale mines and shells projectile attacks, range quite far, moving slowly.
String = 13638, each group of five red array of defensive team, has a very high defense, but the combat is very low, medium speed
String = 13639, each group of five red array of melee-based teams, right Shoucheng lethal ordnance have doubled, moving slowly
String = 13642, simple common walls.
String = 13643, defensive walls of medium strength, with a certain degree of durability.
String = 13644, high defense walls, which can effectively stop the enemy for some time.
String = 13645, the highest defense walls, the enemy need only way to destroy a considerable strength.
String = 13646, defense in general Morishiro ordnance, able to shoot the enemy arrows. Range far, but the attack speed slow.
String = 13647, defense in general Morishiro ordnance, able to shoot the enemy arrows. Close range, but the attack faster.
String = 13648, very strong Morishiro ordnance, can be thrown Leihuo small-scale damage caused by bombs. Not long range, attack speed in general.
String = 13649, very strong Morishiro ordnance, can cause a wide range of stone throwing injuries. Not long range attack slowly.
String = 13650, the most common simple Morishiro ordnance, can close the enemy of anti-.
String = 13666, very strong Morishiro ordnance can be lowered and a large number of enemy anti-Tribulus terrestris wooden lei. Close enemy can only attack, attack speed in general.
String = 13669, [trap] to heat the flame burning, killing enemy soldiers a trap Stone Sentinel Maze
String = 13670, [trap] to Meng Huo-yen wall, burning, killing enemy soldiers a trap Stone Sentinel Maze
String = 13671, [trap] to the trap of countless enemy soldiers Lotus Xisha Stone Sentinel Maze
String = 13672, [trap] to countless floating bearing in mind that the trap of fighting the enemy soldiers, Stone Sentinel Maze
String = 13673, [trap] to the five elements of action Dun Jia enemy soldiers sealed the trap Stone Sentinel Maze
String = 13674, [trap] to the transfer of enemy soldiers the location of the five elements Dun Jia trap Stone Sentinel Maze, moving up to 10 grid
String = 13675, [trap] to the transfer of enemy soldiers the location of the five elements Dun Jia trap Stone Sentinel Maze, moving up to 20 cells
String = 13676, [trap] to the transfer of enemy soldiers the location of the five elements Dun Jia trap Stone Sentinel Maze, moving up to 40 grid
String = 13677, [trap] outsider's goalkeeper enemy soldiers to open space, inhalation of different trap Stone Sentinel Maze
String = 13678, [trap] opens the House of goalkeeper Nether inhaled a large number of enemy soldiers trap of different space-Stone Sentinel Maze
String = 13679, [trap] to countless assassination of enemy soldiers to spear trap Stone Sentinel Maze
String = 13680, [trap] to high-speed rotation of the Excalibur enemy soldiers stabbed the trap Stone Sentinel Maze
String = 13681, front of the car equipped with two large angle of attack, and to the heavy metal of the siege vehicles, it is incredibly powerful.
String = 13682, body covered by red array of heavy armor soldier, despite the high durability and attack power, but slow-moving.
String = 13683, imitation made of dragon-type paoche, the jet of flame can be positive all the enemy soldiers burn
String = 13684, made of imitation tiger-type paoche, the jet of flame can be positive all the enemy soldiers burn
String = 13685, in the iron and steel walls and then attach the blade to substantially strengthen the defense force and lethal
String = 13686, you can meet the enemy fire exhaust heat of the tower
String = 13687, can mobilize to meet the enemy's tower spear trap
String = 14000,Vat pham
String = 14001,Moc Dong
String = 14002,ThiBinh PhuAn
String = 14003,BiNhan QTruc
String = 14004,TuongQuan AnP
String = 14005,DaoXa BPhu
String = 14006,LienCau BPhu
String = 14007,KiemBinh BPhu
